filter,name,url
Automotive,All,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36
Automotive,ADASAndHighlyAutomatedDriving,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36_c22
Automotive,AutomotiveConnectivity,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36_c1816
Automotive,BodyAndComfort,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36_c42
Automotive,InfotainmentAndInVehicleExperience,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36_c154
Automotive,PowertrainAndVehicleDynamics ,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36_c1477
Automotive,VehicleNetworking,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec36_c1473
CommunicationInfrastructure,All,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec209
CommunicationInfrastructure,DataCenterInfrastructure,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec209_c1784
CommunicationInfrastructure,EnterpriseNetworking,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec209_c1797
CommunicationInfrastructure,WiredNetworkInfrastructure,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec209_c1798
CommunicationInfrastructure,WirelessNetworkInfrastructure,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec209_c1787
Industrial,All,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec148
Industrial,AerospaceAndMobileRobotics,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec148_c1421
Industrial,BuildingControl,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec148_c1479
Industrial,FactoryAutomation,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec148_c101
Industrial,Healthcare,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec148_c118
Industrial,PowerAndEnergy,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec148_c269
Mobile,All,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1793
Mobile,Accessories,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1793_c1554
Mobile,Portable,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1793_c1790
Mobile,Wearables,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1793_c1791
SmartCity,All,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786
SmartCity,Access,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786_c19
SmartCity,Identification,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786_c1486
SmartCity,Payment,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786_c1391
SmartCity,Retail,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786_c1564
SmartCity,SmartCityInfrastructure,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786_c1835
SmartCity,Transportation,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1786_c1565
SmartHome,All,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1800
SmartHome,HomeAppliances,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1800_c122
SmartHome,HomeControlAndSecurity,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1800_c1789
SmartHome,HomeEntertainment,https://www.nxp.com/search?category=products&start=0&keyword=datasheets&filter=deviceTax%3E%3Ec731&filter=applicationTax%3E%3Ec1800_c323